id,audit_reasons,dataset,answer_type,grounding_type,reasoning_type,gold_answer,sft_answer,dpo_answer,sft_exact,dpo_exact,manual_review_required,manual_is_dpo_better,manual_severity,manual_notes
finqa_valid_finqa765,"[""improved_exact_vs_sft"", ""improved_numeric_exact_vs_sft"", ""fixed_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,2.0,-2.0,2.0,False,True,True,,,
finqa_valid_finqa8,"[""improved_exact_vs_sft"", ""improved_numeric_exact_vs_sft"", ""fixed_calculation_error_vs_sft""]",FinQA,number,direct_grounded,calculation,995.0,995,995.0,False,True,True,,,
tatqa_validation_4b2c7d6c7dd3394ec96efac69931cb24,"[""improved_exact_vs_sft"", ""improved_numeric_exact_vs_sft"", ""fixed_wrong_citation_vs_sft"", ""fixed_calculation_error_vs_sft""]",TAT-QA,number,numeric_grounded,calculation,155 thousand,-155 thousand,155 thousand,False,True,True,,,
tatqa_validation_e2f8522285722c66eb3a910ca91f28f0,"[""improved_exact_vs_sft""]",TAT-QA,span,direct_grounded,lookup,Original Equipment Manufacturers (“OEM”) are the end-customers to which we provide direct marketing application engineering support,"Original Equipment Manufacturers (“OEM”) are the end-customers to which we provide direct marketing application engineering support, while Distribution customers refers to the distributors and representatives that we engage to distribute our products around the world.",Original Equipment Manufacturers (“OEM”) are the end-customers to which we provide direct marketing application engineering support,False,True,True,,,
finqa_test_finqa166,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,0.07427,0.0607,0.06075,False,False,True,,,
finqa_test_finqa371,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,25.0,0.25,0.25,False,False,True,,,
finqa_test_finqa379,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,30.87736,28.55,28.05,False,False,True,,,
finqa_test_finqa421,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,75.0,0.06,0.06667,False,False,True,,,
finqa_test_finqa747,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,1.43836,1.43,1.43,False,False,True,,,
finqa_test_finqa801,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,10.2,10.2,10.2,True,True,True,,,
finqa_test_finqa851,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,49080.0,4577,45777.0,False,False,True,,,
finqa_test_finqa972,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,98180.0,9818.0,9818.0,False,False,True,,,
finqa_valid_finqa173,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,1320.825,1378.8,1378.65,False,False,True,,,
finqa_valid_finqa215,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,0.78247,0.885,0.875,False,False,True,,,
finqa_valid_finqa300,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,2.33333,0.7,2.35294,False,False,True,,,
finqa_valid_finqa405,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,-0.06563,-0.0658,-0.0658,False,False,True,,,
finqa_valid_finqa527,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,0.0604,0.0604,0.0604,True,True,True,,,
finqa_valid_finqa682,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,0.88,0.88,0.88,True,True,True,,,
finqa_valid_finqa709,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,2234.0,2234.0,2234.0,True,True,True,,,
finqa_valid_finqa746,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,0.01,0.01,0.01,True,True,True,,,
finqa_valid_finqa790,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,0.3,0.32,0.32,False,False,True,,,
finqa_valid_finqa824,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,3090.0,3085.0,3085.0,False,False,True,,,
finqa_valid_finqa853,"[""fixed_wrong_citation_vs_sft""]",FinQA,number,direct_grounded,calculation,0.0988,0.1,0.1,False,False,True,,,
tatqa_validation_0401c06d4bfd5ef8318fe4e61eb50f0e,"[""fixed_wrong_citation_vs_sft""]",TAT-QA,span,direct_grounded,lookup,$36.5 million,"2,164","2,164",False,False,True,,,
tatqa_validation_2fab3c00580e41b8d62dbc9138e1b4fb,"[""fixed_wrong_citation_vs_sft""]",TAT-QA,multi_span,direct_grounded,multi_hop,"Cubic Transportation Systems, Cubic Mission Solutions, Cubic Global Defense","CTS, CGD and CMS","CTS, CGD and CMS",False,False,True,,,
